,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
80,fuji apple,"MannwhitneyuResult(statistic=110.0, pvalue=0.18368115921145795)","MannwhitneyuResult(statistic=192.0, pvalue=0.38738582251034676)","MannwhitneyuResult(statistic=209.0, pvalue=0.43735366685588972)","MannwhitneyuResult(statistic=57.5, pvalue=0.09763659613535941)","MannwhitneyuResult(statistic=39.0, pvalue=0.075439563492456979)","MannwhitneyuResult(statistic=46.0, pvalue=0.083211536183573853)"
81,yellow cupcake,"MannwhitneyuResult(statistic=29.0, pvalue=0.065542522338635056)","MannwhitneyuResult(statistic=153.5, pvalue=0.28228652515609587)","MannwhitneyuResult(statistic=50.5, pvalue=0.088848788920155852)","MannwhitneyuResult(statistic=93.0, pvalue=0.15183205707233499)","MannwhitneyuResult(statistic=15.5, pvalue=0.053351561250241736)","MannwhitneyuResult(statistic=22.5, pvalue=0.059315500517227393)"
82,ccls,"MannwhitneyuResult(statistic=29.0, pvalue=0.065542522338635056)","MannwhitneyuResult(statistic=208.5, pvalue=0.43569410658169277)","MannwhitneyuResult(statistic=165.5, pvalue=0.31408233799270879)","MannwhitneyuResult(statistic=57.5, pvalue=0.09763659613535941)","MannwhitneyuResult(statistic=15.5, pvalue=0.053351561250241736)","MannwhitneyuResult(statistic=22.5, pvalue=0.059315500517227393)"
83,blueberry lemonade,"MannwhitneyuResult(statistic=56.5, pvalue=0.096246805186607387)","MannwhitneyuResult(statistic=92.5, pvalue=0.15024795641744143)","MannwhitneyuResult(statistic=64.5, pvalue=0.10699213495286952)","MannwhitneyuResult(statistic=39.5, pvalue=0.07631846412885171)","MannwhitneyuResult(statistic=122.5, pvalue=0.20941199497611429)","MannwhitneyuResult(statistic=115.5, pvalue=0.19458947411545413)"
84,cherry blossom,"MannwhitneyuResult(statistic=170.5, pvalue=0.32746217241451991)","MannwhitneyuResult(statistic=208.5, pvalue=0.43569410658169277)","MannwhitneyuResult(statistic=190.5, pvalue=0.38338888749946198)","MannwhitneyuResult(statistic=135.0, pvalue=0.23784159354149037)","MannwhitneyuResult(statistic=181.0, pvalue=0.35624693337989433)","MannwhitneyuResult(statistic=174.0, pvalue=0.33682170230577385)"
85,strawberry kiwi,"MannwhitneyuResult(statistic=122.5, pvalue=0.20969453704759339)","MannwhitneyuResult(statistic=139.0, pvalue=0.24660023604394721)","MannwhitneyuResult(statistic=128.5, pvalue=0.22299135411654503)","MannwhitneyuResult(statistic=88.5, pvalue=0.14403025318866375)","MannwhitneyuResult(statistic=185.5, pvalue=0.36893846696231725)","MannwhitneyuResult(statistic=178.5, pvalue=0.34926326134214991)"
86,starburst,"MannwhitneyuResult(statistic=155.5, pvalue=0.28787492121136754)","MannwhitneyuResult(statistic=130.0, pvalue=0.22572595919112798)","MannwhitneyuResult(statistic=149.5, pvalue=0.27277306616619068)","MannwhitneyuResult(statistic=187.5, pvalue=0.37482814016023475)","MannwhitneyuResult(statistic=172.5, pvalue=0.33271307920364668)","MannwhitneyuResult(statistic=179.5, pvalue=0.35205077061179668)"
87,white chocolate,"MannwhitneyuResult(statistic=166.5, pvalue=0.31668899915248122)","MannwhitneyuResult(statistic=83.5, pvalue=0.13498317629165413)","MannwhitneyuResult(statistic=121.5, pvalue=0.20762484013567045)","MannwhitneyuResult(statistic=15.0, pvalue=0.053239221885055921)","MannwhitneyuResult(statistic=43.0, pvalue=0.079810109568805909)","MannwhitneyuResult(statistic=50.0, pvalue=0.08791511506303451)"
88,raspberry r,"MannwhitneyuResult(statistic=110.0, pvalue=0.18368115921145795)","MannwhitneyuResult(statistic=48.5, pvalue=0.085837400168201294)","MannwhitneyuResult(statistic=50.5, pvalue=0.088848788920155852)","MannwhitneyuResult(statistic=217.0, pvalue=0.46112216932796257)","MannwhitneyuResult(statistic=48.0, pvalue=0.085519016284761329)","MannwhitneyuResult(statistic=41.0, pvalue=0.077582081214595491)"
89,melon mint,"MannwhitneyuResult(statistic=64.0, pvalue=0.10621307251122042)","MannwhitneyuResult(statistic=224.0, pvalue=0.48198196885981526)","MannwhitneyuResult(statistic=165.5, pvalue=0.31408233799270879)","MannwhitneyuResult(statistic=70.0, pvalue=0.11482022230782535)","MannwhitneyuResult(statistic=33.5, pvalue=0.069731231371719757)","MannwhitneyuResult(statistic=40.5, pvalue=0.07705669131092896)"
