,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
114,cake yellow,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=0.95975334509295585, pvalue=0.33717936825401251)","RanksumsResult(statistic=0.90726683403318487, pvalue=0.3642657083570856)","RanksumsResult(statistic=0.82103899443498962, pvalue=0.41162405713954453)","RanksumsResult(statistic=0.86977646899049121, pvalue=0.384422573292173)","RanksumsResult(statistic=0.86977646899049121, pvalue=0.384422573292173)"
375,cap vanilla bean ice cream,0,0,0,0,0,0
111,tfa sweet cream,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=0.95975334509295585, pvalue=0.33717936825401251)","RanksumsResult(statistic=0.90726683403318487, pvalue=0.3642657083570856)","RanksumsResult(statistic=0.82103899443498962, pvalue=0.41162405713954453)","RanksumsResult(statistic=0.88477261500756865, pvalue=0.37627928216718565)","RanksumsResult(statistic=0.88477261500756865, pvalue=0.37627928216718565)"
39,graham crust,"RanksumsResult(statistic=1.3983906160924708, pvalue=0.1619957995507868)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.3908925430839321, pvalue=0.16425801438537213)","RanksumsResult(statistic=1.4546261636565112, pvalue=0.14577278371258162)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
411,lacaramel,0,0,0,0,0,0
152,cap harvest berry,"RanksumsResult(statistic=0.47612763604220859, pvalue=0.63398344944147633)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.56985354864894255, pvalue=0.56877703266601543)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)"
384,vanilla custard cream,0,0,0,0,0,0
14,black honey tobacco,"RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.6233328063486323, pvalue=0.10451828015496789)","RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
97,strawberry del,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=0.95975334509295585, pvalue=0.33717936825401251)","RanksumsResult(statistic=0.90726683403318487, pvalue=0.3642657083570856)","RanksumsResult(statistic=1.0009927466399189, pvalue=0.31683031508867787)","RanksumsResult(statistic=0.9972437101356495, pvalue=0.31864622905548234)","RanksumsResult(statistic=0.9972437101356495, pvalue=0.31864622905548234)"
266,strawberry cap,0,0,0,0,0,0
133,vienna cream,"RanksumsResult(statistic=0.69732078979410073, pvalue=0.4856020602608091)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.71231693581117816, pvalue=0.47626853902974786)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.7273130818282556, pvalue=0.46703418609470215)"
207,strawberry cheescake,0,0,0,0,0,0
366,cap cinnamon danish,0,0,0,0,0,0
159,coconut extract,"RanksumsResult(statistic=0.47612763604220859, pvalue=0.63398344944147633)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.56985354864894255, pvalue=0.56877703266601543)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.5323631836062489, pvalue=0.59447447902041417)"
4,caramel cream,"RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.6945644999297502, pvalue=0.090158066266032205)","RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
300,blueberry extra,0,0,0,0,0,0
153,cheesecake graham crust,"RanksumsResult(statistic=0.47612763604220859, pvalue=0.63398344944147633)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.56985354864894255, pvalue=0.56877703266601543)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)"
361,cap sweet cream,0,0,0,0,0,0
222,smoke pipe,0,0,0,0,0,0
