,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
45,citric acid,"MannwhitneyuResult(statistic=193.5, pvalue=0.39319044062201475)","MannwhitneyuResult(statistic=203.5, pvalue=0.42222759792905118)","MannwhitneyuResult(statistic=199.0, pvalue=0.40922925847043218)","MannwhitneyuResult(statistic=166.5, pvalue=0.31773594365216895)","MannwhitneyuResult(statistic=229.0, pvalue=0.49849658177418715)","MannwhitneyuResult(statistic=222.0, pvalue=0.4774606775332334)"
46,fa orange,"MannwhitneyuResult(statistic=37.0, pvalue=0.073640850302917435)","MannwhitneyuResult(statistic=161.0, pvalue=0.3026060623388438)","MannwhitneyuResult(statistic=58.0, pvalue=0.098404313954584266)","MannwhitneyuResult(statistic=100.5, pvalue=0.16585922598596342)","MannwhitneyuResult(statistic=15.5, pvalue=0.05337759147540428)","MannwhitneyuResult(statistic=22.5, pvalue=0.059357400633932723)"
47,fa cheesecake,"MannwhitneyuResult(statistic=185.5, pvalue=0.37023083040547244)","MannwhitneyuResult(statistic=118.5, pvalue=0.20111962720176985)","MannwhitneyuResult(statistic=155.5, pvalue=0.28880097214767891)","MannwhitneyuResult(statistic=206.0, pvalue=0.42982291474464407)","MannwhitneyuResult(statistic=144.0, pvalue=0.25965224791158015)","MannwhitneyuResult(statistic=137.0, pvalue=0.24284594216456856)"
48,kentucky bourbon,"MannwhitneyuResult(statistic=71.5, pvalue=0.11712848622283595)","MannwhitneyuResult(statistic=218.5, pvalue=0.4669232380543194)","MannwhitneyuResult(statistic=174.0, pvalue=0.33809494973849452)","MannwhitneyuResult(statistic=76.5, pvalue=0.1248168915812824)","MannwhitneyuResult(statistic=33.5, pvalue=0.069803004530687246)","MannwhitneyuResult(statistic=40.5, pvalue=0.07715081692283339)"
49,waffle cap,"MannwhitneyuResult(statistic=60.5, pvalue=0.10164111384221125)","MannwhitneyuResult(statistic=96.5, pvalue=0.15778064337716713)","MannwhitneyuResult(statistic=74.5, pvalue=0.12171547145955292)","MannwhitneyuResult(statistic=44.5, pvalue=0.081958239172312208)","MannwhitneyuResult(statistic=132.5, pvalue=0.23236125170576472)","MannwhitneyuResult(statistic=125.5, pvalue=0.21656347326803627)"
50,gummy candy,"MannwhitneyuResult(statistic=220.0, pvalue=0.47149286319850153)","MannwhitneyuResult(statistic=203.5, pvalue=0.42222759792905118)","MannwhitneyuResult(statistic=229.0, pvalue=0.49849887801655729)","MannwhitneyuResult(statistic=161.5, pvalue=0.30443732860049127)","MannwhitneyuResult(statistic=147.0, pvalue=0.26702914128690691)","MannwhitneyuResult(statistic=154.0, pvalue=0.28465695446796513)"
51,boom,"MannwhitneyuResult(statistic=86.5, pvalue=0.14084644515742201)","MannwhitneyuResult(statistic=71.5, pvalue=0.11657733411044113)","MannwhitneyuResult(statistic=85.0, pvalue=0.13842203994863572)","MannwhitneyuResult(statistic=97.0, pvalue=0.15938540148726843)","MannwhitneyuResult(statistic=190.5, pvalue=0.38440015394285465)","MannwhitneyuResult(statistic=197.5, pvalue=0.40470577636514732)"
52,peanut butter v,"MannwhitneyuResult(statistic=185.5, pvalue=0.37023202991328935)","MannwhitneyuResult(statistic=165.0, pvalue=0.31322863004883356)","MannwhitneyuResult(statistic=179.5, pvalue=0.35335599343999852)","MannwhitneyuResult(statistic=161.5, pvalue=0.30443732860049127)","MannwhitneyuResult(statistic=147.0, pvalue=0.26702914128690691)","MannwhitneyuResult(statistic=154.0, pvalue=0.28465695446796513)"
53,vanilla custard v,"MannwhitneyuResult(statistic=16.5, pvalue=0.054412781846018402)","MannwhitneyuResult(statistic=13.5, pvalue=0.051556982253029467)","MannwhitneyuResult(statistic=15.0, pvalue=0.053239651334533393)","MannwhitneyuResult(statistic=161.5, pvalue=0.30443732860049127)","MannwhitneyuResult(statistic=147.0, pvalue=0.26702914128690691)","MannwhitneyuResult(statistic=154.0, pvalue=0.28465695446796513)"
54,gingerbread,"MannwhitneyuResult(statistic=220.0, pvalue=0.47149286319850153)","MannwhitneyuResult(statistic=135.5, pvalue=0.23906094728940219)","MannwhitneyuResult(statistic=179.5, pvalue=0.35335599343999852)","MannwhitneyuResult(statistic=40.5, pvalue=0.077496073542003732)","MannwhitneyuResult(statistic=47.0, pvalue=0.084486631896534825)","MannwhitneyuResult(statistic=54.0, pvalue=0.092959082507130419)"
