,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
134,spearmint,"MannwhitneyuResult(statistic=137.5, pvalue=0.24355016640661897)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=135.5, pvalue=0.23891214920228798)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=138.5, pvalue=0.24558044260788675)"
313,mg nicotine,0,0,0,0,0,0
460,c r,0,0,0,0,0,0
282,clove,0,0,0,0,0,0
38,koolada,"MannwhitneyuResult(statistic=44.0, pvalue=0.081151121399878512)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=37.0, pvalue=0.073670898107514801)","MannwhitneyuResult(statistic=36.5, pvalue=0.072705922089258024)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
28,venom,"MannwhitneyuResult(statistic=14.5, pvalue=0.052724195078940057)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=29.0, pvalue=0.065643495969592486)","MannwhitneyuResult(statistic=14.5, pvalue=0.052457065437173982)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
94,reven,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=97.0, pvalue=0.15901032376725671)","MannwhitneyuResult(statistic=94.5, pvalue=0.15397649478433051)","MannwhitneyuResult(statistic=94.0, pvalue=0.15308564887453302)"
328,ripe a,0,0,0,0,0,0
107,tfa strawberry ripe,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=97.0, pvalue=0.15901032376725671)","MannwhitneyuResult(statistic=105.0, pvalue=0.17347458872484134)","MannwhitneyuResult(statistic=107.5, pvalue=0.17833932636981475)"
378,raspberry one,0,0,0,0,0,0
357,rhubarb,0,0,0,0,0,0
335,wintergreen,0,0,0,0,0,0
256,e yogurt,0,0,0,0,0,0
311,beer,0,0,0,0,0,0
355,rex,0,0,0,0,0,0
140,peanut butter,"MannwhitneyuResult(statistic=137.5, pvalue=0.24355016640661897)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=135.5, pvalue=0.23891214920228798)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=138.5, pvalue=0.24558044260788675)"
423,peanut but,0,0,0,0,0,0
418,e sucralose,0,0,0,0,0,0
305,y ac,0,0,0,0,0,0
121,peanut butter cup,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=121.0, pvalue=0.20658019602795691)","MannwhitneyuResult(statistic=121.5, pvalue=0.20714319727169261)","MannwhitneyuResult(statistic=121.5, pvalue=0.20714319727169261)"
442,amaretto,0,0,0,0,0,0
149,tiramisu,"MannwhitneyuResult(statistic=137.5, pvalue=0.24355016640661897)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=154.5, pvalue=0.28532520199968558)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=149.5, pvalue=0.27235809876195005)"
327,rew,0,0,0,0,0,0
109,smooth,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=97.0, pvalue=0.15901032376725671)","MannwhitneyuResult(statistic=109.5, pvalue=0.18229226496026429)","MannwhitneyuResult(statistic=109.5, pvalue=0.18229226496026429)"
424,peanut,0,0,0,0,0,0
